"sexo";"nacimiento";"estatura";"peso";"grupo_rh"
"F";"1977-03-04";1.71;74.5;"B-"
"F";"1985-05-19";1.56;77.9;"A+"
"F";"1979-08-02";1.49;91.2;"A+"
"M";"1975-09-07";1.82;58.7;"A+"
"F";"1967-11-18";1.44;65.3;"O+"
"F";"1976-05-19";1.72;70.9;"A-"
"M";"1975-02-14";1.86;77.6;"AB+"
"M";"1967-04-14";2.03;62.5;"A+"
"M";"1975-02-08";1.61;59.9;"O+"
"M";"1971-04-03";1.76;85.7;"O+"
"F";"1971-07-04";1.5;73.7;"AB+"
"M";"2000-10-15";1.67;52.6;"A+"
"F";"1981-06-15";1.68;62.7;"O+"
"M";"1982-04-28";1.67;49.6;"O+"
"M";"1985-05-12";1.95;71.2;"A+"
"F";"1976-02-10";1.42;69.3;"O+"
"M";"1987-04-07";1.94;61.4;"O+"
"M";"1980-02-13";1.73;73.3;"O+"
"F";"1979-10-07";1.63;54.2;"O-"
"M";"1965-06-19";1.91;57.4;"O+"
"F";"1976-10-03";1.72;60.8;"A+"
"F";"1980-10-14";1.9;62.8;"A+"
"M";"1984-11-17";1.81;76.1;"AB+"
"M";"1977-02-28";1.73;73.7;"B+"
"F";"1981-02-13";1.54;67.5;"A-"
"F";"1993-05-01";1.57;70.4;"A+"
"M";"1982-05-12";1.51;57.4;"O+"
"M";"1986-06-21";1.66;75.9;"AB+"
"F";"1972-07-21";1.36;54.7;"A+"
"F";"1966-07-22";1.64;73.6;"AB+"
"F";"1973-06-27";1.44;71.8;"B+"
"M";"1979-04-07";1.37;73.4;"A+"
"F";"1987-07-26";1.56;76.8;"O+"
"F";"1991-09-13";1.74;62.5;"B+"
"F";"1986-02-07";1.85;67.2;"A+"
"F";"1982-09-18";1.34;81.4;"O+"
"M";"1983-10-12";2;65.8;"B+"
"F";"1975-06-18";1.46;90.9;"A+"
"F";"1989-06-08";1.61;82.7;"O+"
"F";"1983-06-26";1.52;64.9;"O+"
"M";"1982-07-07";1.65;62;"A+"
"F";"1982-11-09";1.47;69.3;"O+"
"M";"1971-03-21";1.7;77.6;"A+"
"M";"1979-05-24";1.48;83.1;"O+"
"M";"1979-07-18";1.79;69.6;"O+"
"F";"1977-08-10";1.61;70.4;"B-"
"F";"1983-07-15";1.21;71.6;"O+"
"M";"1988-11-18";1.89;71.6;"A-"
"F";"1976-06-23";1.79;59.5;"A+"
"F";"1984-05-07";1.71;67.1;"A-"
"F";"1980-03-09";2.02;54.3;"O-"
"F";"1979-09-12";1.35;66.1;"O+"
"F";"1980-09-16";1.72;51.4;"AB+"
"M";"1971-06-01";1.33;85.6;"B+"
"M";"1984-06-26";1.48;68.4;"O+"
"M";"1982-08-13";1.76;77.1;"O+"
